list_id,musicId,userLikeId,hotlist
 112535495|,31165498$37854694$34228719$28224499$1233516$1458643$21567941$27289992$18567174$|,383512030$593991880$1382192399$1601952040$1552363740$113426342$555414754$343435280$|,442448662:300016136$35866725:19570392$59817327:34571372$427917422:99569804$98063172:46449834$
 112536776|,27571342$4432619$4432608$19902625$37132213$22585465$3703237$19188943$32063299$28832257$28834864$26196822$16612735$29240147$26197383$21965616$27786824$27786825$32063193$26744982$37211686$29365649$28443637$29365650$27924717$27810173$28456345$27720583$26162117$4106996$3661513$29473751$29807732$3892619$28279266$4390495$27641738$4400214$21911090$33020585$19176900$367740$26623799$28279260$3892617$4385185$4239215$17152827$33111144$19192253$360348$3450468$3715004$4174197$5150536$5150541$4293717$28029278$829522$17454270$28732776$19522620$4072432$33020590$22746449$33020587$4293728$29463132$3578112$17445511$33020591$1529142$4107045$28029281$26162096$28493018$3968522$2936322$25786447$3892611$4174157$26238666$31356429$22813202$26596984$28029275$22738906$22738905$17445491$26308684$22738901$4310305$28009103$28628684$853270$22770463$4471321$19510333$28404271$26228295$4033341$27231873$19576282$27400540$367734$367738$4386881$21911537$28493021$21965698$4133536$28114336$19522619$17127778$26168015$20745465$27231871$21975340$28253964$20783894$4071911$2068784$4386878$26430343$27812038$352555$26430346$3724172$4472196$27810169$19531738$2018804$26430347$4369767$16463508$33854504$3989026$20745454$17369572$3893311$28420666$16465889$4208208$4177720$17125929$20720665$16841967$20720651$4030747$4030744$4030720$18753557$18753563$28253963$28253985$28253989$22770462$22770464$21965693$21965692$21965613$4374401$19551627$3586901$3486149$3486139$4009893$17116300$17116295$3893284$4369566$4369792$28402397$21911534$17417070$17417064$17417075$17417072$18100579$18100593$16847754$16847749$16847757$16847752$34057085$19513153$31152903$28959155$19604304$19604179$28732745$26444457$26444464$27894165$27894168$17281206$17281182$28188036$28188039$32341382$32341388$32341381$21041577$21041612$21041608$29399808$29399811$30590492$3552801$26222623$26222627$19187612$19187607$16649806$33075109$33075107$16649839$28492997$3034778$28492994$28492995$989736$989839$989812$989828$19204266$4281498$4281483$4281481$2313053$26715742$2312939$2312911$|,321871905$1950661438$48930565$42756915$422789026$66744785$31072721$440496982$|,113925019:44033417$161434117:128772325$101003590:65467075$111983048:84082349$629581918:405723019$
 112537511|,515540639$33984101$400876398$532776078$28485455$28268045$1300720763$27542857$29390198$28188299$445664018$27108022$484170497$27680793$20789751$29717336$38358820$28953536$420513785$20244741$463352509$579954$16823407$32823355$32043170$27589166$28661112$29771215$31460297$25888658$29401226$31517214$28268049$405377784$33211676$30474763$3934578$29482948$29534449$28613168$26758474$1073001$33346943$30512839$30987781$28661590$5079276$5074218$31645356$29550136$26978345$26978342$27164238$27984428$31365584$26365103$32235692$5067896$34532015$|,338343981$1418320854$448691234$1548889888$319996600$1347965046$316834874$271149832$|,2338119684:1503405438$650926577:294517806$
 112539521|,32235557$699936$639945$677458$677456$491369313$469535472$4901602$22667256$29848761$4979593$4979596$4901610$4927783$4898897$443110$30621568$32803296$526904959$462861453$639941$471415$28757270$4879546$4898912$276149$591772$29781364$5271763$5271765$5271768$5259197$5270291$5336121$677470$4980640$785887$276141$443086$578739$4908754$26131711$813302$730631$28481826$4916906$28757273$26439724$4879558$22786040$4903664$33781003$421885306$421885538$2424840$35448518$35448535$35448536$30394174$719454$4898896$4901003$431534182$4901600$4968723$443098$26220037$185204$4925704$4900899$28757259$4900892$699924$4903707$29802386$4949142$443479$4907936$4898899$4898905$719451$4898904$442338$4908755$4898903$28302231$28757268$4907941$4898911$4879560$4898914$443102$4903658$28668499$4988615$28606435$28757267$443078$31010607$4879548$|,422184988$1809591713$597015350$498753787$1579503860$1308784857$248908399$1664200439$|,636832666:84171087$95812943:84171087$
 112540048|,1321580023$865632948$863114203$423015580$1352024777$39635792$1352962985$1406273330$535586576$557095893$1378655008$557621334$528340931$863489767$501220618$519136840$1349289376$459880606$863143769$29775871$455496262$482022$1310906383$724595$410710445$29535690$26414008$30635706$544474415$28126380$32272267$27646203$422428548$410801653$41602947$29431066$421091989$40249612$254650$33241356$420400350$440207431$413831193$513360721$487379204$480580003$408845163$436668246$505647213$512099305$412493245$405167769$306664$27598482$32845031$35476188$28285910$297748$434923226$197266$520400044$442867218$31134734$28310951$414979999$458496083$569214126$439139384$407042439$413188401$399353128$28935307$31445554$436346833$91287$473470191$512524510$504835560$524585999$461463653$511998142$490595358$445505374$41659256$365687$452467692$514761281$487587201$41640165$445546453$41660050$31134731$466794193$464055384$431791067$442493220$430787597$407441690$421091281$453524387$32957955$409650012$404465600$36150692$247416$293649$37778314$28923455$27515139$380443$30251345$28288505$|,132908684$514683098$539342615$1364610562$1656981904$38442390$251866528$1540150722$|,88085982:35354859$38079568:9204804$
 112540759|,34341445$33404054$33479445$33166541$31370668$31517219$32431130$30482634$30512964$32192737$30474763$33211568$33887332$35040609$34586396$34179954$33419085$33085567$33861955$34003197$33705515$33737574$33599699$33937174$33937878$33875177$33887924$33887925$33887926$33887928$33887930$33887932$33887933$33887935$33887936$33887937$33887938$33887939$33887940$33887942$33887950$33887923$33579224$32897085$33314021$33378205$33223410$33111214$32737775$32640198$32639194$32639205$32640115$32408242$32431782$32408176$32317106$32408129$32408210$32408202$32364970$32196838$31514565$31654326$31514177$31517046$31514328$31514176$31514142$31152371$26449207$26612094$28362725$29719481$27703957$30987290$31311358$31311107$31245850$31284420$31140427$30953046$30870207$30706279$30569019$30352836$28716683$30512926$30352407$30352404$30482618$29379952$28921656$28830411$28830410$29797443$29979642$30621706$29932350$30854056$30854054$30854051$30953076$30854907$30953044$30953054$30953060$30953063$30953066$30870204$30953077$30953090$30953093$30953104$30953105$30064263$30352365$30512924$30569017$30512962$30512925$30512956$30512957$30482647$30569059$30512986$30569034$30569014$30482646$30512938$30482633$29746457$30512959$30496972$28155499$29953160$29953244$30512777$30512592$30212312$29849815$30512790$30512593$26193501$30512896$30512647$30212889$30482619$30373112$30482621$30512683$30482610$28613168$30512745$29947420$29379951$29737984$30512721$30482609$30512895$27492545$28154830$30512852$30482616$30212488$30512757$30373736$30512666$30512897$30512747$30512682$30482620$30482612$30512607$30512681$29819579$30064731$30482617$30512573$30512751$29737983$30512872$30512740$30512646$30512850$30284632$30512710$30512570$30512731$28830409$28857189$30512860$27764707$30512839$30064262$29953155$29747651$27578266$30482608$30512572$30512641$30064728$28921655$30870205$|,1901501562$628837842$431823349$560913216$1886101473$1404640555$1431787545$416494993$|,2212239822:563054599$
 112540953|,3313334$19292802$22441762$18969325$27927003$18638057$17793698$20942981$1297650$29450453$26189824$5093684$28578770$28111061$28832360$16435051$16808807$29414735$28784119$26199445$16648232$28191814$27585863$19945735$19192352$21253966$28700023$28923965$18614255$28977745$4154790$30953009$29719175$16375205$26069686$34228668$28854407$3406918$27937279$18611643$27646424$26221032$19561011$17229811$2012909$5171213$32507839$19558676$26060065$27697195$|,2043168506$293556090$104102115$421013514$647390541$1598670088$377127445$1746340050$|,114606798:583471$824268221:1922121$74804481:69606285$
 11254175|,445528805$19160341$5184569$1331746431$507865327$473602998$535342918$35440347$503891344$555949589$505418219$443700733$482633519$487190872$34033274$5100541$26966170$25290457$17895092$421137998$28773353$456185232$28195671$2319832$20820042$2112690$29710560$28254707$25878399$28790726$27976287$26267819$28595428$4415593$28465302$28828188$27713940$21510438$28677790$4415580$4120041$16996060$27804647$17654204$17167345$28678118$28660080$26629778$2704534$3996286$26344505$21209084$2587550$1303683$26618601$27979227$5109858$5182665$4220097$28418042$3932174$21510478$4230249$28287978$3782743$5081333$1880122$27962935$27962934$27962939$26387260$27794330$27747350$5206273$27962996$27962989$27962974$27962969$27962958$27962955$27962950$27962941$27962933$|,1682720823$115207782$437859108$1307295916$2041685389$104909478$1469367020$542087615$|,2307998206:77590631$42029411:5190793$771535658:478375887$136457316:16069809$95287132:16069809$
 112542758|,403710535$405612897$563733742$1347134811$493448422$1338490248$1313102152$1355147936$1345494708$465807622$419646456$28912015$1355149437$1343146025$1350051594$1374505771$1375468661$1300721686$34324376$419116217$406924282$532776335$17845320$454924362$437909145$573116699$27977954$29004566$28528718$483156272$573240023$522429562$552575014$35283616$32648587$471761782$467952465$41654816$574928272$436016480$521595445$542359570$1311978631$571339219$476323553$535024262$412785957$424155394$420922950$543612397$490381113$515269424$518013024$493042529$504017347$501220770$513357140$536624282$492145159$29021785$457552211$468882987$493646263$27969962$411315504$418603096$463001857$33729890$441835450$514761257$492146902$31311695$480426313$438801442$476323037$455311639$423227301$423406940$475597495$421160521$452997043$26429479$488267621$487375361$480524523$448763917$463509859$442899497$460476510$424155395$471754973$32019002$31789010$454435322$28521999$461090506$33544176$465833702$466332055$41672685$26895826$31301029$466126465$466122460$34528838$413812883$444324728$32166168$461347998$404184631$29722221$32823354$439037024$414979184$32548784$412175361$421423251$404783937$38392664$36271362$425295146$456370244$432780721$454730079$453252446$440101136$28248640$31273679$428599678$461518895$444548872$441566422$29491859$438900437$421160207$445666806$32102752$32835377$33361570$435288964$28060381$35804696$407450325$31997968$16714264$436514415$32648143$409931573$402668045$432506141$426309253$412327136$436305026$411314533$436514455$425298920$414979048$28649860$432698627$423228334$432698443$423228325$415904278$405566130$30870306$426850398$407889615$412187573$427142481$29771146$38673509$409031010$418602088$1781643$38673676$411314681$426107669$36569366$30394891$400876480$32450288$408532862$410801521$30496911$409916250$31526513$402070862$412175204$399354184$41666511$36509486$31421001$36095001$34144434$30432084$27951601$36024659$33789178$33984675$30212890$36308387$34613621$33184014$31245090$37095772$35090300$29715008$33544627$30431672$33190182$33544087$34532077$32835004$36492196$33071205$31370725$36990266$32358393$28143956$30780434$33522489$34228628$31245739$29713934$28474410$3026715$29533166$28300168$27583305$29747956$30870960$28983027$32807699$28798439$30621789$26092806$28086326$22834824$30967328$29910080$29550137$26625903$27845437$29747996$28409127$27896551$28315618$29771432$27795934$28528999$29129632$29561077$30706066$26575163$28310479$30148743$29378212$26366307$16963280$27733447$3406918$28306554$28738227$27795945$28136576$26544456$28244345$29550185$29422004$29422008$28111317$28694864$|,41684936$293632075$136139067$270092082$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112543253|,5212224$5192304$5206129$5153282$5199537$5192333$5192283$5211880$5212214$5212215$5212216$5212217$5212218$5212219$5212220$5212221$5212222$5212223$5212225$26945535$26945536$26945537$26945538$26945539$26945540$26945541$26945542$26945543$26945544$26945545$26945546$5211536$5211537$5211538$5211539$5211540$5211541$5211542$5211543$5211544$5211545$5211546$5211547$5211548$5199238$5199239$5199240$5199241$5199242$5199243$5199244$5199245$5199246$5199247$5199248$5199249$5169241$5169242$5169243$5169244$5169245$5169246$5169247$5169248$5169249$5169250$5169251$5169252$5169253$5160673$5160674$5160675$5160676$5160677$5160678$5160679$5160680$5160681$5160682$5160683$5160684$5160697$5160698$5160699$5160700$5160701$5160702$5160703$5160704$5160705$5160706$5160707$5160708$5160709$5170922$5170923$5170924$5170925$5170926$5170927$5170928$5170929$5170930$5170931$5170932$5170933$5199146$5199147$5199148$5199149$5199150$5199151$5199152$5199153$5199154$5199155$5199156$5177901$5177902$5177903$5177904$5177905$5177906$5177907$5177908$5177909$5177910$5177911$5177912$25788002$25788003$25788004$25788005$25788006$25788007$25788008$25788009$25788010$25788011$25788013$25788012$25788014$5192292$5192293$5192294$5192295$5192296$5192297$5192298$5192299$5192300$5192301$5192302$5192303$5206134$5206135$5206136$5206137$5206138$5206139$5206140$5206141$5206142$5206143$5206144$5206145$5186131$5186132$5186133$5186134$5186135$5186136$5186137$5186138$5186139$5186140$5186141$5186142$5186143$5186156$5186157$5186158$5186159$5186160$5186161$5186162$5186163$5186164$5186165$5186166$5186167$5211499$5211500$5211501$5211502$5211503$5211504$5211505$5211506$5211507$5211508$5211509$5211510$5211511$5158224$5158225$5158226$5158227$5158228$5158229$5158230$5158231$5158232$5158233$5158234$5158235$5206109$5206110$5206111$5206112$5206113$5206114$5206115$5206116$5206117$5206118$5206119$5206120$5206121$5213294$5213295$5213296$5213297$5213298$5213299$5213300$5213301$5213302$5213303$5213304$5213305$5192316$5192317$5192318$5192319$5192320$5192321$5192322$5192323$5192324$5192325$5192326$5192327$5192267$5192268$5192269$5192270$5192271$5192272$5192273$5192274$5192275$5192276$5192277$5192278$5192279$5212526$5212527$5212528$5212529$5212530$5212531$5212532$5212533$5212534$5212535$5212536$5212537$5192305$5192306$5192307$5192308$5192309$5192310$5192311$5192312$5192313$5192314$5192315$5177863$5177864$5177865$5177866$5177867$5177868$5177869$5177870$5177871$5177872$5177873$5177874$5177875$5211475$5211476$5211477$5211478$5211479$5211480$5211481$5211482$5211483$5211484$5211485$5211486$5212917$5212918$5212919$5212920$5212921$5212922$5212923$5212924$5212925$5212926$5212927$5212928$5212929$5206158$5206159$5206160$5206161$5206162$5206163$5206164$5206165$5206166$5206167$5206168$5206169$5153281$5153283$5153284$5153285$5153286$5153287$5153288$5153289$5153290$5153291$5153292$5153293$5153294$5153295$5153296$5153297$5153298$5153299$5153300$5153301$5153302$5153303$5153304$5199214$5199215$5199216$5199217$5199218$5199219$5199220$5199221$5199222$5199223$5199224$5199225$5186144$5186145$5186146$5186147$5186148$5186149$5186150$5186151$5186152$5186153$5186154$5186155$5211524$5211525$5211526$5211527$5211528$5211529$5211530$5211531$5211532$5211533$5211534$5211535$5193683$5193684$5193685$5193686$5193687$5193688$5193689$5193690$5193691$5193692$5193693$5193694$5193695$5213281$5213282$5213283$5213284$5213285$5213286$5213287$5213288$5213289$5213290$5213291$5213292$5213293$5199538$5199539$5199540$5199541$5199542$5199543$5199544$5199545$5199546$5199547$5199548$5206146$5206147$5206148$5206149$5206150$5206151$5206152$5206153$5206154$5206155$5206156$5206157$5192328$5192329$5192330$5192331$5192332$5192334$5192335$5192336$5192337$5206122$5206123$5206124$5206125$5206126$5206127$5206128$5206130$5206131$5206132$5206133$5199169$5199170$5199171$5199172$5199173$5199174$5199175$5199176$5199177$5199178$5199179$5199180$5199181$5192280$5192281$5192282$5192284$5192285$5192286$5192287$5192288$5192289$5192290$5192291$5211877$5211878$5211879$5211881$5211882$5211883$5211884$5211885$5211886$5211887$5211888$5211889$|,351784527$1811494426$1355525473$317302823$304451581$367814337$1679892893$2030828713$|,47512207:36381763$158584227:103944236$53765528:735748$21093241:752756$945668691:121637074$
 11254462|,368767$331307$192384$26075514$344942$331321$26604159$330852$234070$29408985$234507$28111624$110802$26608795$28111271$27591222$28068320$82150$86849$224086$308353$255870$214455$333276$316679$288133$26122205$27713951$27591219$95578$224837$66680$28111645$65198$255604$|,338826670$109988956$105370893$85098957$129985319$265425091$265432054$265379988$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112545545|,17709084$17709085$17709086$17709087$17709088$17709089$17709090$17709091$17709092$17709093$|,126195641$130402847$1858112436$1333005459$263543711$108292679$621951801$511182129$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 11254576|,20200830$22599297$19282070$27861734$27927427$22428539$19808594$1308126$17616138$27036676$20200838$19558673$22281622$27725429$17616212$16295596$19558676$19419488$19943227$19500298$19282117$22368235$27086325$17271121$17740173$18618733$17335979$5149886$17271134$21099428$17271147$27037914$2009242$19933172$18780578$4357828$27907933$26762834$1711027$17616273$26358054$17456136$|,271720477$593972006$442055013$1794870210$1482925702$408212546$637419447$422368937$|,541286625:34494926$
 11254642|,482386469$1316460171$512365425$286966$25699068$307780$25698046$406475388$526464293$28256015$28256016$29769313$421423806$468513829$29771436$512085302$452986458$442314991$512099011$350760$407002483$29803271$427609090$4875075$405597568$5351605$29418971$29544495$405377706$306688$287025$419077199$223689$33556491$27646463$26584453$28152008$28699298$31473269$210281$286970$25698048$256093$32507211$28819878$5234402$342340$266627$342349$274492$342343$5261918$5264860$284961$5230903$26038933$309777$205342$5256469$25638783$277584$29600711$5356977$296835$175956$303365$27538223$4877006$306662$252731$252695$29431232$209914$28285911$206853$27804029$208083$293601$28427631$28191916$28793140$29032001$298194$287540$254610$26348068$25640789$5248755$319296$306975$308801$307162$274863$233894$25702350$327233$306626$26562383$27538286$297711$233962$26609161$342351$327225$205267$362393$28285910$277364$291297$26418130$256624$28018072$255808$232758$28481162$316169$208942$327096$209707$25714102$28568244$307514$298371$233866$26902923$26590223$238630$287717$229401$276904$28283346$239566$233967$295779$296836$27698908$223814$282977$254253$208075$25638102$376840$210089$239370$306907$208087$247809$247807$280724$273971$307298$260428$260420$299055$5250181$362391$326997$27483319$293754$298213$28314045$308879$64317$26211175$205730$256833$327781$300998$274523$333132$252727$304830$247488$231412$308519$274447$333024$252794$308884$306672$25643280$25643566$287063$238659$274517$274449$332816$274519$274510$306983$366295$252767$256621$25640291$220212$254037$25641640$294035$344422$239682$238632$238667$238646$298850$254132$245380$235643$257090$303281$392646$280922$287499$287524$255497$307043$27713963$212304$238648$286684$235962$308739$278428$255907$28314055$4872640$368727$254098$247523$327090$25640640$26348066$298838$26038818$159428$311007$254191$307684$280118$223801$25713020$25641220$350907$246240$26211159$329994$297590$254028$255504$223625$27937940$325585$230299$247490$239562$25640625$27483290$5252288$5253687$230522$5245937$287719$|,478587222$422285369$429681473$554802173$1350767891$1406051401$18633408$1565607441$|,864833663:63219614$2584682150:593647533$135818128:49810003$
 112546935|,22842156$29307003$5407959$34152138$26136973$27890020$32648782$28959138$28406501$32317704$22840891$32526073$29122216$22833991$22829906$26549683$26115278$|,|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 11254731|,28285910$32507038$4461906$28387590$27724082$27591236$273800$247821$189862$254005$253945$27501813$22854163$383091$27731537$392522$|,246610171$499333681$560803637$431858396$105751925$274856298$275287012$134181414$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112547420|,26271929$17285338$26350246$29732652$209506$27804336$26429346$28121050$30830986$31421810$28761177$30706066$32019002$28730265$30612320$26268890$29910080$26544456$28457387$29095410$28926971$29023501$29491453$33035837$33599017$|,335355651$333427594$271229198$398339853$333298804$253653632$103640943$92901611$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112549552|,437605808$405377576$32046267$32548784$33984675$35283616$33190605$33735727$31134212$32166171$28003585$30394423$33314370$29802078$32431899$25786727$28071895$28775815$31594198$27192327$28755335$32102752$29950291$33211434$32807699$|,445972414$1554994266$425077392$1640438227$85860821$432989128$108364611$294611177$|,411863212:42689902$153722589:123323363$512179614:57157506$103262631:46517281$162532247:119207501$
 112549570|,1940301$33035066$32431987$507795651$27671178$34880391$36199827$30070138$28692785$22840039$2068608$2068708$35845177$2051389$1600114$28312036$31284417$4250011$29803228$3404044$30064171$29950374$28830767$19885534$17804651$19851815$2870203$2864723$18858435$18622175$18228482$2925502$27552251$17152989$26524290$28718313$1774229$27946718$|,517783079$1916713304$594566084$1698647905$97283927$509760851$1929121831$1945521653$|,88996565:49767318$9804694:3294221$29714565:37016035$38351895:6717576$3292858:1916511$
 112550437|,590465$590468$590471$590476$590481$607619$607622$607625$607629$607632$607634$607636$607638$607640$607642$607643$607644$607645$607646$607647$607648$607649$607650$607651$607652$607653$607654$607656$607658$607660$607662$607664$607665$607666$607667$607670$607673$607677$607680$607682$607684$|,1599341462$249634020$1933242032$438332404$1689793424$1750639105$316315460$66990961$|,2400073223:445106697$549667461:272409029$43516451:41170732$116539011:44033417$971559497:280090782$
 112550663|,24913059$1805265$24913050$18278288$5276810$28043397$2852279$20948205$28631445$5165086$29950236$25776454$1772593$22559543$29099227$28908573$4462879$33913743$5259435$28838017$25731821$29170087$32689326$25042956$1049115$22006157$24913054$1938623$27256793$28563288$16691428$1715935$26883021$27256820$27061157$24906256$1458237$27114385$5173134$27242067$24176992$22250815$29539597$27192237$3965310$1213309$18279891$4265593$1201494$22600820$27221398$22373424$26584877$26822443$5164994$22000530$5164962$26731543$25954841$25861072$5189652$25861070$21184600$20768932$20768914$25830063$26883751$25230074$25230073$25230069$25230062$27182195$22534931$1145380$2541477$25230070$25230068$22543917$22512110$1805228$26883013$22600928$5160803$22287868$5059351$26090121$22609911$25821511$20675014$27708297$30031809$22503869$22243751$26789938$1778976$5168401$22209123$27567099$22341399$18001009$22590061$1501811$27682727$22571253$25295034$22483836$5057458$31260313$2123634$1461530$5276818$25842621$1213304$25729684$27200546$21095272$22341401$1501606$22341167$25936789$18565935$25813883$25813886$|,113888688$33041450$1986489679$615509683$277908612$314528195$7308872$393358030$|,62437358:6348971$2271971202:260257902$105950568:54614223$
 112551606|,|,480282755$431492076$134096896$77706951$390171026$63823584$339308304$333372123$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112551851|,726811$31010566$28941711$38679918$30251270$440239158$450041375$510213198$479979547$28798748$31654660$474739593$1989359$29012014$26115345$445844962$28996501$33004508$31090497$28364361$28250504$34609121$22669745$496219$4886807$28082570$31917314$21563015$28629028$36270578$26657845$28828593$2918954$20515939$22669764$32235401$32235402$427419487$427419486$411907897$41629793$29822196$30148802$29753702$461011$28977745$534178$16958959$33991808$3313757$26931060$4224657$460887$28996499$625750$26119280$27713920$1989392$31140522$1377195$27629678$22793308$|,1647136306$90900046$1532021238$343598191$279463965$305937312$467386162$493703147$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112552953|,34613621$26508116$190072$327422$224000$32752249$28208244$210281$26270153$22712173$406238$27676089$5397550$22842266$30053355$31654650$666406$588700$575083$656398$25880423$5189832$2182987$4102682$29009655$28830411$1926683$188432$190270$108157$27646786$28285910$205342$167882$28854182$27836179$25702068$202373$28191641$33668985$64317$29822018$29818120$25906124$65766$31446913$443242$156050$27804029$375328$28692519$1297650$498096$185700$326997$25788001$176053$277302$277364$29722263$28661564$4172700$29814898$108242$27731172$27678655$5255798$27591444$380428$139377$386844$20744788$|,125798070$41330248$122485042$96066007$112530696$13910536$126589092$95699050$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112553609|,28299181$19168459$3406726$3314177$296885$375394$63538$29814898$32835565$36947839$375892$31877466$28059417$69827$205449$306920$29444026$65126$274686$157808$5264850$254574$257524$22481460$176924$106368$306575$64833$26244421$31473269$327089$28793506$27937429$25707139$27937432$210842$108224$4875756$5260494$186260$244681$26620821$86849$480680$26113988$301035$28018075$25657348$187738$31877244$186385$108242$307525$234015$190246$144630$186560$187893$26524510$187787$28612974$299601$2923416$5295207$4252179$27671157$1315441728$82190$307684$205342$375667$1615656$22429109$86316$18658960$4875304$26550057$276711$27937527$190360$175991$306662$429348670$28341146$108370$282920$317245$316654$456370709$300136$239159$65078$190078$326784$26217337$393019$26484066$257509$411907408$211379$189236$28793502$216744$190424$25718007$120694$28481103$26207292$326880$65769$28732222$25729046$26494680$287627$4252287$189315$187776$307057$187819$256374$31311140$523251118$287063$32619064$5252288$108143$29723022$512376199$29710981$189873$29713754$223935$28208046$316756$187996$233967$28406532$29481242$574919767$27713963$27583525$144083$1313425126$144619$1883355$4875753$4875755$326990$4351614$498210$3819561$25706371$382501$362996$233866$233882$362998$2182960$185904$29722543$1235625$190495$28798921$17059176$5055766$186016$5141034$17386592$512359203$21563015$185809$25638322$287231$27506284$186018$21234462$110167$21234420$25780421$185854$185859$185861$229401$254074$254102$28819421$34169285$28219176$176053$26418130$25702068$186139$4875970$4874225$27902098$29023553$326965$187905$187908$65800$25888385$18981909$20942973$25159656$5400327$411921359$21563214$21562979$5039309$16435049$26322057$20942981$27514868$21563205$25706383$21563004$27927008$2117228$31654343$32924539$212729$27678505$65525$191232$5251021$5043882$16431842$64886$27515086$385787$29450548$1297941$27697195$18794225$17939827$28111224$28639182$18981969$18981967$27853739$30569035$1934649$3025239$3025202$25657241$149297$159394$27836179$65337$277382$110043$25639286$393305$21674656$16432043$16435051$2117009$26217232$2871309$28586064$28531849$2188235$25731738$21373645$139385$28815250$28563317$109172$31234853$29436904$25638240$393703$233968$22830017$30612793$25657253$|,248832573$1884327113$1326949586$1919796690$1704665612$550714145$1728640467$1946928697$|,321048854:127746547$489421780:251169143$
